CLIM_UPPP	CLIM_DOWN	CLIM_UPLF	CLIM_UPRT	CLIM_DNLF	CLIM_DNRT	CLIM_LEFT	CLIM_RIGT	CRWL_LEFT	CRWL_RIGT	CREP_LEFT	CREP_RIGT	WALK_LEFT	WALK_RIGT	TRAV_LEFT	TRAV_RIGT
0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1
3	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1
4	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1
5	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1
6	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1
7	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0
10	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0
11	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0
14	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0
